,target_num,Mouse_Acceleration_Mean,Mouse_Acceleration_Max,Mouse_Total_Distance,Mouse_X_Distance,Mouse_Y_Distance,Mouse-Keybord_mean,Mouse-Keybord_max,Mouse-Keybord_min,key_press_time
0,death_1,1314.192660626285,6698.564593301436,1275.8044360999988,1095,410,0.167558,0.167558,0.167558,0.049845
1,death_10,1831.6317729221607,11973.941988776023,2667.9202718392276,1603,1582,0.278127,0.278127,0.278127,1.6124450000000001
2,death_11,554.5809211135889,2240.549075651092,299.05697028220726,122,193,0.050878,0.050878,0.050878,1.940704
3,death_2,1930.9990606554748,25054.086193063027,2459.199711117268,2208,550,0.0,0.0,0.0,1.9984
4,death_3,1334.7825722160928,11045.36101718726,1847.897736672392,819,1321,1.170355,1.170355,1.170355,0.849186
5,death_4,2435.307383115949,22115.142740213665,3245.7747589714727,2736,1138,1.2856130000000001,1.2856130000000001,1.2856130000000001,1.942713
6,death_5,2124.6652563620196,37405.88456912898,3425.176858310117,2582,1806,0.131839,0.131839,0.131839,1.189729
7,death_6,3530.3664052681565,68097.50290968949,4343.2790866711175,3840,933,0.882534,0.882534,0.882534,0.880529
8,death_7,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
9,death_8,3496.972671547901,63116.370808678505,4845.328202431281,4673,499,0.944224,0.944224,0.944224,1.762454
10,death_9,1802.9214324050163,19230.76923076923,1941.694996734481,1015,1232,0.152928,0.152928,0.152928,0.76154
11,kill_1,970.3889412895207,7936.507936507936,1391.8046035722825,1033,450,1.170725,1.170725,1.170725,1.963578
12,kill_10,1503.492081181305,15904.572564612326,2584.20070167309,2317,458,1.3931740000000001,1.3931740000000001,1.3931740000000001,1.879432
13,kill_11,3084.3296825852194,124336.884160689,3957.9880430287603,3793,518,0.0,0.0,0.0,1.972792
14,kill_12,2222.2454280986276,121914.96227354268,2963.313060348918,2335,815,0.546391,0.546391,0.546391,1.8513929999999998
15,kill_13,683.7451377208274,3003.0030030030025,828.2275910470419,610,248,1.378253,1.378253,1.378253,1.7247249999999998
16,kill_2,3299.5720761332273,53194.294147755856,5705.759134393146,5098,1365,0.733527,0.733527,0.733527,1.763279
17,kill_3,926.8875903358062,5000.0,1475.451713575662,719,1003,0.0,0.0,0.0,0.892928
18,kill_4,2664.3250907902,47438.795785314294,4140.376540430301,3898,732,0.0,0.0,0.0,1.9808400000000002
19,kill_5,2609.359730655173,45659.10828639056,3726.6620979926906,3203,888,1.121515,1.121515,1.121515,1.678486
20,kill_6,1499.8024268969953,14260.777951470473,1745.1540453956086,1444,509,1.612714,1.612714,1.612714,1.28664
21,kill_7,490.9737114291434,5964.214711729623,500.9481934890827,353,193,0.039139,0.039139,0.039139,1.9616
22,kill_8,510.8123040536866,15151.51515151515,723.5634918610406,553,235,1.46033,1.46033,1.46033,1.960258
23,kill_9,2966.7229807288804,35128.33614050059,3810.997632387587,3696,414,0.0,0.0,0.0,0.65794
