,target_num,Mouse_Acceleration_Mean,Mouse_Acceleration_Max,Mouse_Total_Distance,Mouse_X_Distance,Mouse_Y_Distance,Mouse-Keybord_mean,Mouse-Keybord_max,Mouse-Keybord_min,key_press_time
0,death_1,2122.8347255748645,15093.671062623403,2188.8235977740455,1892,562,1.5114670000000001,1.5114670000000001,1.5114670000000001,1.374322
1,death_10,1115.5562177692714,6422.391411667852,1967.6187207187627,1502,653,1.474801,1.474801,1.474801,1.420278
2,death_11,3756.086733184174,25634.18673516631,3120.36025925315,2971,461,1.8876650000000001,1.8876650000000001,1.8876650000000001,1.36554
3,death_12,461.22396027766376,16644.474034620504,493.7980174337358,388,148,0,0,0,1.8920059999999999
4,death_13,3950.2838049374636,60255.72034453596,4895.09553009864,4505,1008,0,0,0,1.9978479999999998
5,death_14,985.2064619095809,6286.834314450059,1396.314978975107,1106,560,0.710728,0.710728,0.710728,1.517734
6,death_15,848.5618540117412,2006.0180541624873,82.65685424949238,70,15,0,0,0,0.0
7,death_17,716.1039725587923,5114.362601396975,120.9030861228126,95,41,0.652435,0.652435,0.652435,0.0
8,death_18,177.49136878871036,1003.0090270812436,33.0,13,20,0,0,0,0.0
9,death_2,670.7821672584957,17928.286852589645,1046.6028301246401,612,543,0.653065,0.653065,0.653065,0.529552
10,death_3,3059.1715953087055,29821.073558648113,4222.89532992163,3843,749,0,0,0,1.989312
11,death_4,1997.6868414823457,14113.90780811472,2819.2097440003945,1915,1463,1.643018,1.643018,1.643018,1.997733
12,death_5,2400.459136625472,176938.809460208,3576.396956498721,2423,1786,0.868108,0.868108,0.868108,1.494231
13,death_6,1008.4391963471779,4454.318680278466,1669.2177215957327,373,1448,0.0,0.0,0.0,1.07675
14,death_7,1696.9606899906569,10117.102209509492,2474.8741514152816,2353,374,0.251597,0.251597,0.251597,1.879699
15,death_8,766.6766166719096,4454.318680278466,557.6704351292097,306,363,0.0,0.0,0.0,0.972107
16,death_9,3460.4822274560047,27108.43373493976,3897.325056552892,3569,672,1.651718,1.651718,1.651718,1.73641
17,kill_1,3139.610614752202,55701.49394084255,3537.1905194803185,3391,347,0,0,0,1.978998
18,kill_10,1540.853225119125,11615.442021604185,2322.3678620790884,1927,895,1.443808,1.443808,1.443808,1.320406
19,kill_11,105.05305179115453,105.05305179115453,1.0,0,1,0,0,0,0.0
20,kill_12,2033.6574441679318,18054.162487462385,2496.940943868522,2340,374,0,0,0,1.671703
21,kill_13,805.9021521358281,4454.318680278466,1229.2642646967117,782,667,0.993574,0.993574,0.993574,1.047617
22,kill_14,623.61533569441,2817.1584907830584,518.0368700082464,349,254,0.0,0.0,0.0,1.934175
23,kill_15,960.2708093980327,9064.449587725141,1619.0863182188327,1529,170,0.859355,0.859355,0.859355,1.475866
24,kill_16,5.7996566603257085,5.7996566603257085,1.0,0,1,0,0,0,0.0
25,kill_17,681.2056006792174,4002.0010005002505,1121.0957445112922,551,641,0.843705,0.843705,0.843705,1.417826
26,kill_18,1819.33941284482,27247.89911174749,3205.6847244400115,2552,1113,1.101045,1.101045,1.101045,1.884377
27,kill_19,3655.2996538495513,35105.31594784353,2835.7183060596076,2714,263,0.0,0.0,0.0,1.5526309999999999
28,kill_2,1077.5343777651346,13333.333333333334,1803.1353848106985,1572,390,0.0,0.0,0.0,1.849345
29,kill_20,3186.6293278590974,86718.1641834907,5646.224145830945,4981,1556,0.900615,0.900615,0.900615,1.64409
30,kill_21,1216.4365101344904,9940.357852882704,1299.2985894346823,750,732,0.517657,0.517657,0.517657,1.607379
31,kill_22,966.760652009802,4139.664282748656,1647.5135760662843,618,1206,0.196337,0.196337,0.196337,1.791267
32,kill_23,2045.2360863471417,18002.75375375232,3340.3126421447123,2978,652,0.0,0.0,0.0,1.033549
33,kill_24,1258.5964005356645,7952.286282306163,2103.173055701492,1846,476,1.217011,1.217011,1.217011,1.649813
34,kill_25,1322.4314260503359,16028.345424052783,1881.695329279831,1698,392,0,0,0,1.918039
35,kill_26,2026.0387623148004,12548.720873684046,2935.349153473192,2392,1144,0.079196,0.079196,0.079196,1.654321
36,kill_3,814.4278715507047,21956.087824351296,1220.4512409650579,950,418,1.091123,1.091123,1.091123,1.828948
37,kill_4,2296.1256886302303,27127.020253225495,3544.075732325062,2578,1493,0.703988,0.703988,0.703988,1.626789
38,kill_5,1346.8958925731406,9960.159362549803,2000.8678979569186,1415,841,0.937104,0.937104,0.937104,1.997855
39,kill_6,1819.619863851328,23809.52380952381,2758.9401294172594,2518,429,1.062583,1.062583,1.062583,1.786808
40,kill_7,1608.1969797243248,23264.62087210271,2299.904407669833,1633,1177,0.585502,0.585502,0.585502,1.52202
41,kill_8,5106.844643598798,138519.92409867173,6131.641424287007,6007,524,0,0,0,1.710131
42,kill_9,656.1592666317092,2839.7862698254926,906.8064328282046,655,363,0,0,0,1.382797
